full_name,position,sleeper_adp,espn_adp,spread
Travis Hunter,WR,240.0,119.47,120.53
Mo Alie-Cox,TE,290.0,169.97,120.03
Emari Demercado,RB,289.0,170.39,118.61000000000001
Tanner Koziol,TE,288.0,170.0,118.0
Mack Hollins,WR,287.0,170.06,116.94
Ollie Gordon,RB,286.0,170.67,115.33000000000001
LeQuint Allen,RB,285.0,170.34,114.66
Nate Boerkircher,TE,284.0,169.99,114.00999999999999
Ja'Tavion Sanders,TE,283.0,169.94,113.06
Luke Schoonmaker,TE,282.0,169.93,112.07
Jaylen Wright,RB,281.0,170.56,110.44
Zachariah Branch,WR,280.0,170.86,109.13999999999999
Isaiah Williams,WR,279.0,169.99,109.00999999999999
Colbie Young,WR,278.0,169.98,108.02000000000001
Tez Johnson,WR,277.0,169.98,107.02000000000001
Josh Whyle,TE,276.0,169.98,106.02000000000001
Max Klare,TE,275.0,169.99,105.00999999999999
Troy Franklin,WR,274.0,170.06,103.94
Nick Westbrook-Ikhine,WR,273.0,169.99,103.00999999999999
Cade Stover,TE,272.0,169.97,102.03
Alvin Kamara,RB,262.0,160.19,101.81
Jonnu Smith,TE,271.0,169.96,101.03999999999999
Demarcus Robinson,WR,270.0,169.98,100.02000000000001
Grant Calcaterra,TE,268.0,169.99,98.00999999999999
Elic Ayomanor,WR,267.0,170.0,97.0
Xavier Legette,WR,266.0,170.72,95.28
Sam Roush,TE,265.0,169.98,95.02000000000001
Antonio Williams,WR,264.0,170.56,93.44
Tyler Higbee,TE,263.0,169.87,93.13
Jalen Coker,WR,64.0,156.49,92.49000000000001
Samaje Perine,RB,261.0,171.16,89.84
Ted Hurst,WR,260.0,170.19,89.81
Drew Sample,TE,258.0,169.98,88.02000000000001
Braelon Allen,RB,259.0,171.0,88.0
Adam Trautman,TE,257.0,169.97,87.03
Jayden Reed,WR,49.0,135.98,86.97999999999999
Emmett Johnson,RB,256.0,169.94,86.06
John Bates,TE,255.0,169.98,85.02000000000001
Jake Tonges,TE,253.0,170.19,82.81
Chimere Dike,WR,252.0,169.84,82.16
Jalen Tolbert,WR,251.0,170.56,80.44
Josh Downs,WR,57.0,137.17,80.16999999999999
Jackson Hawes,TE,250.0,169.97,80.03
Juwan Johnson,TE,80.0,159.58,79.58000000000001
Tommy Tremble,TE,249.0,169.95,79.05000000000001
Jonah Coleman,RB,248.0,169.37,78.63
Isiah Pacheco,RB,237.0,158.68,78.32
Eli Raridon,TE,247.0,169.97,77.03
Oscar Delp,TE,246.0,169.99,76.00999999999999
Tank Bigsby,RB,245.0,169.65,75.35
John Metchie,WR,244.0,169.99,74.00999999999999
Tory Horton,WR,243.0,170.22,72.78
Josh Oliver,TE,242.0,169.95,72.05000000000001
Sean Tucker,RB,241.0,170.34,70.66
Joe Royer,TE,239.0,169.99,69.00999999999999
KaVontae Turpin,WR,238.0,169.79,68.21000000000001
Jadarian Price,RB,137.0,70.86,66.14
Ja'Kobi Lane,WR,234.0,168.54,65.46000000000001
Brock Wright,TE,235.0,169.92,65.08000000000001
Ray Davis,RB,236.0,171.03,64.97
Austin Hooper,TE,233.0,169.99,63.00999999999999
Eli Stowers,TE,232.0,169.97,62.03
Ty Johnson,RB,231.0,170.74,60.25999999999999
Sam Darnold,QB,102.0,162.1,60.099999999999994
Marlin Klein,TE,230.0,169.99,60.00999999999999
AJ Barner,TE,110.0,169.71,59.71000000000001
Dalton Schultz,TE,109.0,168.55,59.55000000000001
Isaac TeSlaa,WR,229.0,170.27,58.72999999999999
Chig Okonkwo,TE,112.0,170.13,58.129999999999995
Darius Slayton,WR,228.0,170.6,57.400000000000006
Kalif Raymond,WR,226.0,169.98,56.02000000000001
Mark Andrews,TE,69.0,124.88,55.879999999999995
Omar Cooper,WR,227.0,171.18,55.81999999999999
Khalil Shakir,WR,82.0,137.78,55.78
Erick All,TE,225.0,170.04,54.96000000000001
Kevin Coleman,WR,224.0,169.99,54.00999999999999
Elijah Higgins,TE,223.0,169.94,53.06
Xavier Hutchinson,WR,222.0,170.09,51.91
Mike Washington,RB,215.0,163.54,51.46000000000001
Christian Watson,WR,40.0,91.36,51.36
Keon Coleman,WR,220.0,170.34,49.66
MarShawn Lloyd,RB,97.0,146.22,49.22
Jaylin Noel,WR,221.0,171.82,49.18000000000001
Malik Davis,RB,219.0,170.08,48.91999999999999
Jordan Love,QB,107.0,155.84,48.84
Makai Lemon,WR,183.0,134.77,48.22999999999999
Jared Goff,QB,88.0,135.87,47.870000000000005
Jack Bech,WR,218.0,170.21,47.78999999999999
Romeo Doubs,WR,101.0,148.76,47.75999999999999
J.K. Dobbins,RB,161.0,113.41,47.59
Brian Robinson,RB,214.0,167.08,46.91999999999999
Marvin Mims,WR,217.0,170.16,46.84
Noah Fant,TE,216.0,169.97,46.03
Hunter Henry,TE,105.0,150.21,45.21000000000001
Quentin Johnston,WR,87.0,131.22,44.22
Justice Hill,RB,213.0,168.85,44.150000000000006
Tre Tucker,WR,125.0,169.03,44.03
Terrance Ferguson,TE,211.0,167.84,43.16
Baker Mayfield,QB,103.0,145.92,42.91999999999999
Tyler Shough,QB,111.0,153.34,42.34
Theo Johnson,TE,212.0,170.12,41.879999999999995
TreVeyon Henderson,RB,121.0,79.27,41.730000000000004
Malik Willis,QB,126.0,167.39,41.389999999999986
Kendrick Bourne,WR,210.0,170.0,40.0
Kenyon Sadiq,TE,199.0,159.21,39.78999999999999
Jaylen Warren,RB,52.0,91.18,39.18000000000001
Olamide Zaccheaus,WR,209.0,169.99,39.00999999999999
Chris Godwin,WR,90.0,128.32,38.31999999999999
Jahan Dotson,WR,208.0,170.67,37.33000000000001
George Holani,RB,207.0,170.29,36.71000000000001
Brenton Strange,TE,131.0,167.6,36.599999999999994
Rico Dowdle,RB,61.0,97.38,36.379999999999995
Darren Waller,TE,134.0,170.34,36.34
Brock Purdy,QB,72.0,107.87,35.870000000000005
Isaiah Davis,RB,206.0,170.58,35.41999999999999
Jordan Addison,WR,84.0,119.14,35.14
Tua Tagovailoa,QB,135.0,170.08,35.08000000000001
Tyquan Thornton,WR,205.0,170.42,34.58000000000001
Elijah Arroyo,TE,204.0,169.92,34.08000000000001
Aaron Jones,RB,153.0,118.98,34.019999999999996
Mike Evans,WR,54.0,87.69,33.69
C.J. Stroud,QB,132.0,165.16,33.16
Michael Mayer,TE,203.0,170.23,32.77000000000001
David Montgomery,RB,32.0,64.5,32.5
Evan Engram,TE,202.0,170.02,31.97999999999999
Tee Higgins,WR,20.0,51.83,31.83
David Njoku,TE,201.0,169.64,31.360000000000014
Emeka Egbuka,WR,77.0,45.84,31.159999999999997
Alec Pierce,WR,138.0,107.29,30.709999999999994
Devaughn Vele,WR,141.0,171.65,30.650000000000006
Caleb Williams,QB,62.0,92.45,30.450000000000003
Luther Burden,WR,46.0,76.22,30.22
Will Kacmarek,TE,200.0,169.98,30.02000000000001
Bryce Young,QB,139.0,168.86,29.860000000000014
Tony Pollard,RB,124.0,94.38,29.620000000000005
Travis Kelce,TE,66.0,95.21,29.209999999999994
Jameson Williams,WR,36.0,64.86,28.86
De'Zhaun Stribling,WR,172.0,143.31,28.689999999999998
Charlie Kolar,TE,198.0,169.99,28.00999999999999
Matthew Stafford,QB,117.0,89.05,27.950000000000003
Stefon Diggs,WR,81.0,108.92,27.92
Kyler Murray,QB,113.0,140.76,27.75999999999999
Jeremiyah Love,RB,53.0,25.39,27.61
Cade Otton,TE,143.0,170.36,27.360000000000014
Kyle Monangai,RB,152.0,124.91,27.090000000000003
Darnell Mooney,WR,197.0,170.42,26.580000000000013
Malik Washington,WR,144.0,170.17,26.169999999999987
Rashid Shaheed,WR,133.0,159.14,26.139999999999986
Bhayshul Tuten,RB,91.0,64.98,26.019999999999996
Isaiah Likely,TE,98.0,124.0,26.0
Jayden Daniels,QB,78.0,52.25,25.75
DeMario Douglas,WR,196.0,170.4,25.599999999999994
Deebo Samuel,WR,114.0,139.31,25.310000000000002
Dalton Kincaid,TE,106.0,130.85,24.849999999999994
Gunnar Helm,TE,146.0,170.74,24.74000000000001
Tyrone Tracy,RB,195.0,170.31,24.689999999999998
Pat Freiermuth,TE,145.0,169.49,24.49000000000001
Jaylen Waddle,WR,29.0,53.19,24.189999999999998
Noah Gray,TE,194.0,169.92,24.080000000000013
Kenny Gainwell,RB,130.0,106.14,23.86
Kayshon Boutte,WR,148.0,170.66,22.659999999999997
Zay Flowers,WR,21.0,43.52,22.520000000000003
Caleb Douglas,WR,193.0,170.49,22.50999999999999
Sam LaPorta,TE,50.0,72.42,22.42
Jaxson Dart,QB,59.0,81.3,22.299999999999997
Aaron Rodgers,QB,147.0,169.19,22.189999999999998
Blake Corum,RB,151.0,128.87,22.129999999999995
Woody Marks,RB,173.0,151.0,22.0
Ashton Jeanty,RB,43.0,21.06,21.94
Parker Washington,WR,70.0,91.42,21.42
Tyjae Spears,RB,170.0,148.58,21.419999999999987
Jalen Nailor,WR,150.0,171.05,21.05000000000001
Andrei Iosivas,WR,191.0,170.12,20.879999999999995
Germie Bernard,WR,192.0,171.33,20.669999999999987
Jonathon Brooks,RB,129.0,108.47,20.53
Cole Kmet,TE,190.0,169.74,20.25999999999999
Michael Wilson,WR,83.0,102.16,19.159999999999997
Courtland Sutton,WR,100.0,80.85,19.150000000000006
Daniel Jones,QB,140.0,159.02,19.02000000000001
Chris Brooks,RB,189.0,170.2,18.80000000000001
Terry McLaurin,WR,42.0,60.7,18.700000000000003
T.J. Hockenson,TE,127.0,145.63,18.629999999999995
Marvin Harrison,WR,99.0,80.48,18.519999999999996
KC Concepcion,WR,128.0,146.34,18.340000000000003
Darnell Washington,TE,188.0,169.75,18.25
Colston Loveland,TE,25.0,43.2,18.200000000000003
Drake Maye,QB,65.0,47.34,17.659999999999997
Jauan Jennings,WR,154.0,171.1,17.099999999999994
Nico Collins,WR,9.0,26.06,17.06
Oronde Gadsden,TE,187.0,170.19,16.810000000000002
Tucker Kraft,TE,74.0,90.52,16.519999999999996
Quinshon Judkins,RB,67.0,51.03,15.969999999999999
Harold Fannin,TE,56.0,71.9,15.900000000000006
Saquon Barkley,RB,30.0,14.36,15.64
Dawson Knox,TE,185.0,169.78,15.219999999999999
Josh Allen,QB,35.0,19.92,15.079999999999998
Jake Ferguson,TE,94.0,109.06,15.060000000000002
Tre' Harris,WR,186.0,171.16,14.840000000000003
Tyler Warren,TE,37.0,51.77,14.770000000000003
Bucky Irving,RB,71.0,56.34,14.659999999999997
Rome Odunze,WR,79.0,64.53,14.469999999999999
Cam Ward,QB,155.0,169.17,14.169999999999987
Daniel Bellinger,TE,184.0,169.99,14.009999999999991
RJ Harvey,RB,115.0,128.92,13.919999999999987
