player_id,player_display_name,position,team,years_exp,draft_number,age,games,room40_pts,pts_per_game,eff_shrunk,sample_n,snap_share_trend,target_share_trend,target_share_vacated,rush_share_vacated,new_oc,aging_slope,crowding_target_share,eff_z,trend_z,tailwind_z,draft_capital_z,aging_z,crowding_z,breakout_z
00-0040743,Tyler Shough,QB,NO,0.0,40.0,25.927446954141,11,163.96,14.9054545454545,-0.26583289940782295,325.0,0.4691666666666667,,0.3174634192420817,0.0,1.0,5.713209650077516,0.0361290322580645,1.1243165058089086,0.8137831237520263,0.9861607025126495,-0.04923184928782548,1.0381333445644583,1.9550975002178734,1.958064327132344
00-0039917,Michael Penix Jr.,QB,ATL,1.0,8.0,25.3169062286105,9,123.28,13.6977777777778,-2.109418834726261,276.0,-0.1571428571428571,,0.3847435431065329,0.0,0.0,-3.140888155519036,0.0,-0.08989614138518139,-0.0317293913676203,0.3208681775198163,0.7175700477615209,-0.9044727324504782,-0.5733491905036971,0.5856891505817544
00-0039376,Spencer Rattler,QB,NO,1.0,150.0,24.9253935660507,9,104.14,11.5711111111111,0.9694680343510549,256.0,-0.9075,,0.3174634192420817,0.0,1.0,-3.140888155519036,0.0,1.9379037588498804,-1.044705134153998,0.9861607025126495,-1.371056025347133,-0.9044727324504782,-0.5733491905036971,0.1771797599146181
00-0040676,Cam Ward,QB,TEN,0.0,1.0,23.2717316906229,17,193.66,11.3917647058824,-3.4263194521595235,537.0,-0.11375,,0.2010009574615873,0.0,0.0,2.6734578792806616,0.0,-0.9572261389472331,0.026850595661672787,-1.156921375164296,1.2437347082834074,0.3712059633428062,-0.5733491905036971,0.10099294368005474
00-0040691,Jaxson Dart,QB,NYG,0.0,25.0,22.3052703627652,14,246.58,17.6128571428571,-1.4070138108309629,326.0,0.1929166666666666,,0.240633289124668,0.0,0.0,9.354705865631999,0.0294117647058824,0.37271807535813734,0.4408479799894069,-0.8381697614617079,-0.26442904082994034,1.8370846135793157,1.4849976428043086,0.06305422383090309
00-0040734,TreVeyon Henderson,RB,NE,0.0,38.0,22.861054072553,17,206.2,12.1294117647059,0.9613724546938843,143.0,0.1038888888888888,-0.0241450221521251,0.2840836909094217,0.0827886710239651,1.0,2.4765211525793376,0.122753954248972,2.409884005476656,-0.3590050434354122,0.7025584771367434,0.9764506012892602,0.15642849359568015,-0.6173386228529147,4.503655156915842
00-0040666,Omarion Hampton,RB,LAC,0.0,22.0,22.4640657084189,9,135.7,15.0777777777778,0.6580636850164987,116.0,-0.3239999999999999,0.0435172306262506,0.5199958953934393,0.0997304582210242,0.0,7.828873218110701,0.105263157894737,1.1837446909157368,-0.7736554711224636,1.1348935449921524,0.9002792246695219,0.5274598830144607,-1.110208391420775,4.082930263890184
00-0040162,Dylan Sampson,RB,CLE,0.0,126.0,20.9637234770705,15,87.6,5.84,0.36524202800735056,,0.0930357142857142,0.0017919820876879,0.26266687444808,0.0198300283286118,1.0,31.096780801272452,0.1152085135048159,-4.488126406208345e-16,0.08933683109168121,0.3478958212336917,0.3682315244768374,2.140418816535441,-0.8299601386488076,3.7758431319864583
00-0040784,Quinshon Judkins,RB,CLE,0.0,36.0,21.8425735797399,14,169.8,12.1285714285714,0.3219906577439334,213.0,0.0557142857142857,0.057083432580516,0.26266687444808,0.0198300283286118,1.0,7.828873218110701,0.136528092502529,-0.174845605502982,0.9888525587889143,0.3478958212336917,1.0051516494209447,0.5274598830144607,-0.22919984427702722,2.9237141512320566
00-0040202,Devin Neal,RB,NO,0.0,184.0,22.0561259411362,9,60.0,6.66666666666667,0.36524202800735056,,0.3229999999999999,0.0667601784495897,0.3174634192420817,0.0,1.0,7.828873218110701,0.142596767881111,-4.488126406208345e-16,2.2319165044305675,0.49487360033249655,-0.5471170766612521,0.5274598830144607,-0.05819181418061814,2.7653247252968907
