model_id,domain,position,model_type,train_date,train_rows,val_rows,val_rmse,val_mae,val_spearman,features_used,notes
nfl_te_gbm_2026-07-29,nfl,TE,gbm,2026-07-29,540,102,36.18600137780235,26.404210449472973,0.7895361877948788,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_te_lgbm_2026-07-29,nfl,TE,lgbm,2026-07-29,540,102,36.75402411357159,25.612092628464993,0.7952702494939476,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_room40_pts,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","retrain after target_share NA->0 bugfix, val season updated to 2025"
nfl_qb_ridge_2026-07-30,nfl,QB,ridge,2026-07-30,337,58,88.56093517492484,67.69013289514794,0.7374379009439243,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_qb_gbm_2026-07-30,nfl,QB,gbm,2026-07-30,337,58,92.81808303133671,70.38166375430811,0.6458618515921508,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_qb_lgbm_2026-07-30,nfl,QB,lgbm,2026-07-30,337,58,91.56392063780838,68.57759642955988,0.668563606520471,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_rb_ridge_2026-07-30,nfl,RB,ridge,2026-07-30,622,97,67.52939424713317,48.544634647172074,0.758867605376938,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_rb_gbm_2026-07-30,nfl,RB,gbm,2026-07-30,622,97,72.5216663331982,52.41969648243735,0.7248207431733389,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_rb_lgbm_2026-07-30,nfl,RB,lgbm,2026-07-30,622,97,69.93212048724855,51.976393868585724,0.7567569366308284,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_wr_ridge_2026-07-30,nfl,WR,ridge,2026-07-30,968,165,50.78097543877915,37.295165626180626,0.8183300378828007,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_wr_gbm_2026-07-30,nfl,WR,gbm,2026-07-30,968,165,55.437124575070456,38.9953968990176,0.7980921660058886,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
